timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554645068537,78,ProductDetails_generate_token,200,OK,Product details 3-1,text,true,,195,158,1,6,http://localhost:7778/api/auth/generate_token,71,0,0
1554645068494,158,Home_generate_token,200,OK,Home page 1-1,text,true,,195,158,1,6,http://localhost:7778/api/auth/generate_token,158,0,38
1554645068467,149,All_generate_token,200,OK,All products 2-1,text,true,,195,158,1,6,http://localhost:7778/api/auth/generate_token,141,0,65
1554645068467,531,AddCart_generate_token,200,OK,Add product to cart 4-1,text,true,,195,158,1,6,http://localhost:7778/api/auth/generate_token,531,0,65
1554645068664,321,Home_get_all,200,OK,Home page 1-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,319,0,1
1554645068973,270,ProductDetails_get_all_products,200,OK,Product details 3-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,268,0,0
1554645068664,716,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,714,0,1
1554645069006,511,Home_get_product_1,200,OK,Home page 1-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,511,0,1
1554645069002,719,AddCart_get_all_products,200,OK,Add product to cart 4-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,717,0,1
1554645069253,511,ProductDetails_get_product,200,OK,Product details 3-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,510,0,1
1554645069385,560,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,560,0,1
1554645069518,512,Home_get_product_2,200,OK,Home page 1-1,text,true,,786,212,1,6,http://localhost:7777/api/products/get_product/5c76cf4728bb32afe442999d,512,0,1
1554645069950,305,All_generate_token,200,OK,All products 2-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,305,0,0
1554645069765,563,ProductDetails_cart/get_items,200,OK,Product details 3-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,563,0,1
1554645070329,255,ProductDetails_generate_token,200,OK,Product details 3-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,255,0,1
1554645070030,765,Home_get_product_3,200,OK,Home page 1-1,text,true,,719,212,1,6,http://localhost:7777/api/products/get_product/5c76cf4765291bfd47d1d993,764,0,1
1554645070256,619,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,616,0,1
1554645070585,472,ProductDetails_get_all_products,200,OK,Product details 3-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,471,0,1
1554645071059,361,ProductDetails_get_product,200,OK,Product details 3-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,361,0,0
1554645070850,614,Home_get_product_4 ,200,OK,Home page 1-1,text,true,,728,212,1,6,http://localhost:7777/api/products/get_product/5c76cf47faf55d47ca5a30a2,614,0,1
1554645070877,713,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,712,0,1
1554645071590,206,All_generate_token,200,OK,All products 2-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,206,0,1
1554645071421,469,ProductDetails_cart/get_items,200,OK,Product details 3-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,469,0,1
1554645071676,365,AddCart_get_product,200,OK,Add product to cart 4-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,365,0,0
1554645071484,562,Home_get_product_5,200,OK,Home page 1-1,text,true,,828,212,1,6,http://localhost:7777/api/products/get_product/5c76cf479ff778c36f642f03,562,0,1
1554645072047,2,Debug Sampler,200,OK,Home page 1-1,text,true,,18422,0,1,6,null,0,0,0
1554645071891,356,ProductDetails_generate_token,200,OK,Product details 3-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,356,0,1
1554645071797,518,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,516,0,1
1554645072033,307,ViewCart_generate_token,200,OK,View cart 5-1,text,true,,195,158,1,6,http://localhost:7778/api/auth/generate_token,307,0,1
1554645072318,316,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,315,0,0
1554645072634,107,All_generate_token,200,OK,All products 2-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,107,0,1
1554645072588,256,Home_generate_token,200,OK,Home page 1-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,256,0,1
1554645072248,619,ProductDetails_get_all_products,200,OK,Product details 3-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,617,0,1
1554645072742,270,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,267,0,1
1554645072869,218,ProductDetails_get_product,200,OK,Product details 3-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,218,0,1
1554645073088,215,ProductDetails_cart/get_items,200,OK,Product details 3-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,215,0,0
1554645073175,370,Home_get_all,200,OK,Home page 1-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,369,0,1
1554645073014,561,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,561,0,1
1554645073304,307,ProductDetails_generate_token,200,OK,Product details 3-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,306,0,1
1554645073576,204,All_generate_token,200,OK,All products 2-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,204,0,0
1554645073548,415,Home_get_product_1,200,OK,Home page 1-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,414,0,0
1554645073611,420,ProductDetails_get_all_products,200,OK,Product details 3-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,418,0,1
1554645073963,363,Home_get_product_2,200,OK,Home page 1-1,text,true,,786,212,1,6,http://localhost:7777/api/products/get_product/5c76cf4728bb32afe442999d,363,0,1
1554645074034,418,ProductDetails_get_product,200,OK,Product details 3-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,418,0,0
1554645073781,820,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,819,0,1
1554645074327,412,Home_get_product_3,200,OK,Home page 1-1,text,true,,719,212,1,6,http://localhost:7777/api/products/get_product/5c76cf4765291bfd47d1d993,411,0,1
1554645074453,412,ProductDetails_cart/get_items,200,OK,Product details 3-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,412,0,0
1554645074865,157,ProductDetails_generate_token,200,OK,Product details 3-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,157,0,1
1554645073302,1734,AddCart_add_item/,200,OK,Add product to cart 4-1,text,true,,196,205,1,6,http://localhost:7779/api/cart/add_item/5c76cf471f74af0956e761d4,1734,0,1
1554645074604,517,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,517,0,1
1554645075122,55,All_generate_token,200,OK,All products 2-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,55,0,1
1554645074671,518,ViewCart_get_all_products,200,OK,View cart 5-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,515,0,1
1554645075037,305,AddCart_generate_token,200,OK,Add product to cart 4-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,305,0,1
1554645074739,663,Home_get_product_4 ,200,OK,Home page 1-1,text,true,,728,212,1,6,http://localhost:7777/api/products/get_product/5c76cf47faf55d47ca5a30a2,663,0,1
1554645075178,222,All_get_all_products,200,OK,All products 2-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,220,0,1
1554645075023,520,ProductDetails_get_all_products,200,OK,Product details 3-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,519,0,1
1554645075343,519,AddCart_get_all_products,200,OK,Add product to cart 4-1,text,true,,181119,183,1,6,http://localhost:7777/api/products/get_all,517,0,0
1554645075402,514,Home_get_product_5,200,OK,Home page 1-1,text,true,,828,212,1,6,http://localhost:7777/api/products/get_product/5c76cf479ff778c36f642f03,514,0,1
1554645075917,0,Debug Sampler,200,OK,Home page 1-1,text,true,,18422,0,1,6,null,0,0,0
1554645075403,664,All_cart/get_items,200,OK,All products 2-1,text,true,,178,181,1,6,http://localhost:7779/api/cart/get_items,664,0,1
1554645075545,565,ProductDetails_get_product,200,OK,Product details 3-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,565,0,1
1554645075918,404,Home_generate_token,200,OK,Home page 1-1,text,true,,195,186,1,6,http://localhost:7778/api/auth/generate_token,404,0,0
1554645075864,462,AddCart_get_product,200,OK,Add product to cart 4-1,text,true,,890,212,1,6,http://localhost:7777/api/products/get_product/5c76cf471f74af0956e761d4,461,0,1
