Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home_generate_token,999,259,53,1137,129.57,0.000%,.27770,0.05,0.05,195.0
All_generate_token,1400,252,53,930,131.36,0.000%,.77659,0.15,0.14,195.0
ProductDetails_generate_token,1800,259,53,466,130.17,0.000%,.55177,0.11,0.10,195.0
AddCart_generate_token,400,262,53,531,129.67,0.000%,.22083,0.04,0.04,195.0
Home_get_all,999,529,119,925,186.01,0.000%,.27768,49.11,0.05,181119.0
ProductDetails_get_all_products,1800,514,116,930,183.34,0.000%,.55177,97.59,0.10,181119.0
All_get_all_products,1400,525,116,926,181.62,0.000%,.77643,137.33,0.14,181119.0
Home_get_product_1,999,510,110,916,183.27,0.000%,.27768,0.24,0.06,890.0
AddCart_get_all_products,400,515,115,925,181.33,0.000%,.22086,39.06,0.04,181119.0
ProductDetails_get_product,1800,518,111,922,180.17,0.000%,.55169,0.48,0.11,890.0
All_cart/get_items,1400,507,110,916,183.26,0.000%,.77663,0.13,0.14,178.0
Home_get_product_2,999,519,110,1274,179.66,0.000%,.27769,0.21,0.06,786.0
ProductDetails_cart/get_items,1800,517,110,1263,180.77,0.000%,.55173,0.10,0.10,178.0
Home_get_product_3,999,508,110,925,177.19,0.000%,.27769,0.19,0.06,719.0
Home_get_product_4 ,999,512,109,918,185.17,0.000%,.27771,0.20,0.06,728.0
AddCart_get_product,400,511,111,985,178.00,0.000%,.22104,0.19,0.05,890.0
Home_get_product_5,999,516,111,922,187.88,0.000%,.27774,0.22,0.06,828.0
Debug Sampler,998,0,0,4,0.49,0.000%,.27771,5.00,0.00,18423.9
ViewCart_generate_token,240,257,54,462,132.55,0.000%,.07749,0.01,0.01,195.0
AddCart_add_item/,400,1255,495,2133,276.03,0.000%,.22106,0.04,0.04,196.0
ViewCart_get_all_products,240,503,119,1255,201.69,0.000%,.07753,13.71,0.01,181119.0
ViewCart_add_item_1,240,1322,682,2083,273.44,0.000%,.07746,0.01,0.02,196.0
ViewCart_add_item_2,240,1329,581,2184,285.55,0.000%,.07740,0.01,0.02,196.0
ViewCart_add_item_3,240,1279,487,2083,285.59,0.000%,.07731,0.01,0.02,196.0
ViewCart_add_item_4,240,1277,634,2035,269.74,0.000%,.07728,0.01,0.02,196.0
ViewCart_cart/get_items,240,497,113,920,176.41,0.000%,.07726,0.02,0.01,286.0
Checkout_generate_token,80,241,54,460,116.22,0.000%,.02259,0.00,0.00,195.0
Checkout_get_all_products,80,499,122,923,185.51,0.000%,.02257,3.99,0.00,181119.0
Checkout_get_product_1,80,533,123,865,167.66,0.000%,.02252,0.02,0.00,890.0
Checkout_add_item_1,80,1346,784,2035,284.30,0.000%,.02249,0.00,0.00,196.0
Checkout_get_product_2,80,524,115,867,180.59,0.000%,.02250,0.02,0.00,786.0
Checkout_add_item_2,80,1242,583,1691,272.57,0.000%,.02256,0.00,0.00,196.0
Checkout_product_3,80,523,164,919,183.71,0.000%,.02262,0.02,0.00,719.0
Checkout_add_item_3,80,1301,382,2213,304.93,0.000%,.02261,0.00,0.00,196.0
Checkout_product_4 ,80,531,211,914,184.85,0.000%,.02267,0.02,0.00,728.0
Checkout_add_item_4,80,1259,631,1881,284.67,0.000%,.02267,0.00,0.00,196.0
Checkout_cart/get_items,80,513,111,918,204.08,0.000%,.02265,0.01,0.00,286.0
Checkout_cart/checkout,80,506,167,867,170.95,0.000%,.02264,0.00,0.00,162.0
TOTAL,23631,495,0,2213,314.52,0.000%,6.56375,248.85,1.19,38823.1
