Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
ViewCart_generate_token,24,253,55,457,128.64,0.000%,.08144,0.02,0.01,195.0
All_generate_token,140,243,53,458,129.64,0.000%,.76804,0.15,0.14,195.0
AddCart_generate_token,40,235,53,460,137.15,0.000%,.22332,0.04,0.04,195.0
ProductDetails_generate_token,180,274,54,459,123.80,0.000%,.54275,0.10,0.10,195.0
Home_generate_token,100,266,55,458,132.52,0.000%,.28224,0.05,0.05,195.0
All_get_all_products,140,531,120,925,177.71,0.000%,.76756,135.76,0.14,181119.0
AddCart_get_all_products,40,584,218,866,143.46,0.000%,.22221,39.30,0.04,181119.0
ProductDetails_get_all_products,180,545,123,919,186.02,0.000%,.54235,95.93,0.10,181119.0
Home_get_all,100,510,117,921,184.19,0.000%,.28192,49.86,0.05,181119.0
AddCart_get_product,40,515,214,866,163.84,0.000%,.21893,0.19,0.05,890.0
ProductDetails_get_product,180,480,111,915,187.73,0.000%,.54245,0.47,0.11,890.0
Home_get_product_1,100,511,117,916,174.00,0.000%,.28133,0.24,0.06,890.0
All_cart/get_items,140,523,114,913,185.89,0.000%,.76870,0.13,0.14,178.0
Home_get_product_2,100,500,111,867,165.17,0.000%,.28122,0.22,0.06,786.0
ProductDetails_cart/get_items,180,543,113,918,175.70,0.000%,.54329,0.09,0.10,178.0
AddCart_add_item/,40,1277,332,1785,296.23,0.000%,.21795,0.04,0.04,196.0
Home_get_product_3,100,517,112,913,195.75,0.000%,.28114,0.20,0.06,719.0
Home_get_product_4 ,100,471,113,863,188.35,0.000%,.28171,0.20,0.06,728.0
ViewCart_get_all_products,24,516,117,871,214.51,0.000%,.08215,14.53,0.01,181119.0
Home_get_product_5,100,518,115,915,201.13,0.000%,.28166,0.23,0.06,828.0
Debug Sampler,100,0,0,1,0.48,0.000%,.28231,5.08,0.00,18423.9
ViewCart_add_item_1,24,1195,683,1729,290.33,0.000%,.07973,0.02,0.02,196.0
Checkout_generate_token,8,256,204,455,82.18,0.000%,.02745,0.01,0.00,195.0
Checkout_get_all_products,8,521,366,768,137.11,0.000%,.02683,4.75,0.00,181119.0
ViewCart_add_item_2,24,1274,681,1782,331.78,0.000%,.08015,0.02,0.02,196.0
Checkout_get_product_1,8,495,261,764,154.15,0.000%,.02680,0.02,0.01,890.0
ViewCart_add_item_3,24,1279,585,1835,248.35,0.000%,.08016,0.02,0.02,196.0
ViewCart_add_item_4,24,1259,680,1883,294.13,0.000%,.08019,0.02,0.02,196.0
ViewCart_cart/get_items,24,470,115,866,196.87,0.000%,.08031,0.02,0.01,286.0
Checkout_add_item_1,8,1194,983,1488,169.73,0.000%,.02621,0.01,0.01,196.0
Checkout_get_product_2,8,534,264,818,234.91,0.000%,.02574,0.02,0.01,786.0
Checkout_add_item_2,8,1162,585,1587,312.49,0.000%,.02522,0.00,0.01,196.0
Checkout_product_3,8,541,316,773,138.01,0.000%,.02468,0.02,0.01,719.0
Checkout_add_item_3,8,1107,730,1632,317.19,0.000%,.02411,0.00,0.00,196.0
Checkout_product_4 ,8,462,213,714,150.05,0.000%,.02483,0.02,0.01,728.0
Checkout_add_item_4,8,1321,890,1691,281.57,0.000%,.02477,0.00,0.00,196.0
Checkout_cart/get_items,8,601,318,811,160.15,0.000%,.02440,0.01,0.00,286.0
Checkout_cart/checkout,8,495,214,712,166.07,0.000%,.02447,0.00,0.00,162.0
TOTAL,2364,493,0,1883,308.56,0.000%,6.58219,249.52,1.20,38817.7
